smile,Tm/K,Tb/K,density/(g/cm3),flash_point/K,NHOC/(MJ/kg),Isp/s
C1CC2(C1)CCCC21CC1,238.971,474.04999999999995,0.98,321.228,43.28338211,341.7900299
C1CC23CCCC2(C1)CC3,238.971,474.04999999999995,0.98,321.228,42.66078037,339.3229184
C1CC2C(C1)C1CCCC21,269.32,460.25,0.976,335.644,42.47825124,338.5962239
C1CC2C(C1)C21CCCC1,254.925,339.15,0.9187,328.649,42.74271008,339.6485957
C1CC2C1C1C3CCC1C23,275.288,454.554,1.156,334.682,42.56538992609592,341.7353419555281
C1CC2C1C1C3CCC3C21,275.288,454.554,1.156,334.682,48.28987305882871,358.19788844966035
C1CC2C1C1CC1C1CC21,275.288,458.04999999999995,1.114,334.682,42.91257934,343.126213
C1CC2C1C1CCC3C2C13,275.288,461.45,1.577,334.682,42.56153813,341.7198796
C1CC2C3CC1C1CC3C12,275.288,454.554,1.156,334.682,42.320752098678575,340.7518920256424
C1CC2C3CC2C2CC3C12,321.15,458.04999999999995,1.114,334.682,42.91089784,343.1194903
C1CC2C3CC3C1C1CC21,275.288,458.04999999999995,1.114,334.682,42.63057715,341.996919
C1CC2C3CC4C2C4C3C1,275.288,458.04999999999995,1.114,334.682,41.81045777,338.6913059
C1CC2C3CCC(C3)C2C1,350.15,393.15,0.976,335.644,42.17404881,337.3816392
C1CC2C3CCC2(C1)CC3,306.15,467.15,0.97,328.649,42.42238447,338.3734922
C1CC2C3CCC4C1C2C43,275.288,454.554,1.156,334.682,42.33641345575713,340.81493607802264
C1CC2CC(C1)C1CCC21,269.32,460.25,0.976,335.644,42.70965852,339.5172506
C1CC2CC1C1C3CC3C21,275.288,458.04999999999995,1.114,334.682,42.47253626,341.3624016
C1CC2CC1C1CC3C2C13,275.288,458.04999999999995,1.114,334.682,42.72567932,342.3781774
